feature,icc_A,n_A,n_missing_A_R1,reason
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.5498613075083891,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_LongRunEmphasis,0.3496963706804939,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.5378767629372765,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.3547885620933937,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.42471534845455383,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_RunEntropy,0.688156723663363,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_RunLengthNonUniformity,0.711202200354292,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.5961507336294202,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_RunPercentage,0.5305974997948548,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_RunVariance,0.2773245484934503,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_ShortRunEmphasis,0.5452349134147164,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.553275957030293,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.43515108256857615,22,0,ICC_A<=0.75
wavelet-LHH_glszm_GrayLevelNonUniformity,0.7433939408339645,22,0,ICC_A<=0.75
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.5299336701113215,22,0,ICC_A<=0.75
wavelet-LHH_glszm_GrayLevelVariance,0.6830890254829196,22,0,ICC_A<=0.75
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.5500821356602574,22,0,ICC_A<=0.75
wavelet-LHH_glszm_LargeAreaEmphasis,0.35375814228395297,22,0,ICC_A<=0.75
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.04982816828612103,22,0,ICC_A<=0.75
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.36207477511661496,22,0,ICC_A<=0.75
wavelet-LHH_glszm_SizeZoneNonUniformity,0.6569212626019479,22,0,ICC_A<=0.75
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.42032350342059843,22,0,ICC_A<=0.75
wavelet-LHH_glszm_SmallAreaEmphasis,0.34637257207809663,22,0,ICC_A<=0.75
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.5558521907480596,22,0,ICC_A<=0.75
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.36721397391411464,22,0,ICC_A<=0.75
wavelet-LHH_glszm_ZoneEntropy,0.5915646617232426,22,0,ICC_A<=0.75
wavelet-LHH_glszm_ZoneVariance,0.35423835563835543,22,0,ICC_A<=0.75
wavelet-LHH_gldm_DependenceEntropy,0.5723297508360482,22,0,ICC_A<=0.75
wavelet-LHH_gldm_DependenceNonUniformity,0.6777584290298458,22,0,ICC_A<=0.75
wavelet-LHH_gldm_DependenceVariance,0.32694848404761834,22,0,ICC_A<=0.75
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.5497919870016312,22,0,ICC_A<=0.75
wavelet-LHH_gldm_LargeDependenceEmphasis,0.3666920881630799,22,0,ICC_A<=0.75
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5661426348135338,22,0,ICC_A<=0.75
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.22183360228694304,22,0,ICC_A<=0.75
wavelet-LHH_gldm_LowGrayLevelEmphasis,0.42961310455978985,22,0,ICC_A<=0.75
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.6111344683010139,22,0,ICC_A<=0.75
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.4733021588445616,22,0,ICC_A<=0.75
wavelet-LHH_ngtdm_Busyness,0.477986997325039,22,0,ICC_A<=0.75
wavelet-LHH_ngtdm_Coarseness,0.6868952727579012,22,0,ICC_A<=0.75
wavelet-LHH_ngtdm_Complexity,0.5969028996799982,22,0,ICC_A<=0.75
wavelet-HLL_firstorder_90Percentile,0.658732231161998,22,0,ICC_A<=0.75
