feature,icc_A,n_A,n_missing_A_R1,reason
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.7014093315502579,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.46681707425063257,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.6464971037544455,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_Contrast,0.7145465245785634,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_Correlation,0.6179770021414882,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.7022907430251563,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_Imc1,0.6255286641085187,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_Imc2,0.6603999574419172,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_JointAverage,0.7374675966843879,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_MCC,0.6074274835998102,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.726572652593519,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_SumAverage,0.7374675966843888,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glcm_SumSquares,0.6565256767147433,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.6835538713267344,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.7013936126586622,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.7474756756089506,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5320429228676431,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.5423038668067792,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.6087589846148375,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.6982319749045961,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.5662077503886761,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.639471469350204,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.6946813196494767,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.7184706308728078,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.4079152584225824,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.6013433129052531,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3992439169195001,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.3961871262165905,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.6868843172499414,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.424219856059283,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.6689643437423919,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.5858405020174774,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,0.6835701992029278,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,0.7014680143210841,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5613889701122146,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,0.5631796849338528,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.6882841423752116,22,0,ICC_A<=0.75
