feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.7426738566859294,22,0.7531240058930957,8,False,0,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.2281164638330131,22,0.14805067480209155,8,False,0,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.3955746731997013,22,0.018109471824609494,8,False,0,False
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.7818563373263215,22,0.9675587654651437,8,True,0,True
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.6943696023309521,22,0.1700594801272937,8,False,0,False
log-sigma-1-0-mm-3D_ngtdm_Complexity,0.18628434168295807,22,0.09966925085141691,8,False,0,False
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.7226251519011954,22,0.4794044971293041,8,False,0,False
log-sigma-1-0-mm-3D_ngtdm_Strength,0.797519099298319,22,0.8893582381172739,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_10Percentile,0.893954519583453,22,0.5842123684399502,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_90Percentile,0.5825433458753883,22,0.8141692670356437,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Energy,0.4197199196240444,22,0.3419481745566717,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Entropy,0.8487818602731897,22,0.6917474730726484,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.7489910339905966,22,0.7645086567678301,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.780986981256688,22,0.7129790271751423,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_Maximum,0.6706785785922762,22,0.14196023795346757,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.7832946734867815,22,0.6620710134957617,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_Mean,0.5509653066750549,22,0.7662566652030575,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Median,0.3802427660539143,22,0.7651140379468669,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Minimum,0.7930554750527741,22,0.5165723544547536,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_Range,0.7290949155797275,22,0.21025996713844552,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.7625298173603041,22,0.7264804501205663,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.7037539397387576,22,0.7974921705993412,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Skewness,0.8023858989052627,22,0.9429352852601746,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.41971991962404415,22,0.34194817455667204,8,False,0,False
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.8550087490731508,22,0.7833999106212611,8,True,0,True
log-sigma-2-0-mm-3D_firstorder_Variance,0.6835433764041294,22,0.5065513760088011,8,False,0,False
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.7014093315502579,22,0.4332295700415534,8,False,0,False
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.46681707425063257,22,0.14733207392990935,8,False,0,False
log-sigma-2-0-mm-3D_glcm_ClusterShade,0.770360874953234,22,0.7683987121349333,8,True,0,True
log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.6464971037544455,22,0.46120678386705344,8,False,0,False
log-sigma-2-0-mm-3D_glcm_Contrast,0.7145465245785634,22,0.5515654478832643,8,False,0,False
log-sigma-2-0-mm-3D_glcm_Correlation,0.6179770021414882,22,0.6215000578948142,8,False,0,False
log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.8134889172551516,22,0.6954589941880315,8,True,0,True
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.8268768299143057,22,0.6981129522128312,8,True,0,True
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.7022907430251563,22,0.49240039022475607,8,False,0,False
log-sigma-2-0-mm-3D_glcm_Id,0.8450213561709973,22,0.7957766547782392,8,True,0,True
log-sigma-2-0-mm-3D_glcm_Idm,0.8461798987580201,22,0.796078029828051,8,True,0,True
log-sigma-2-0-mm-3D_glcm_Idmn,0.905821797997629,22,-0.2170714655133519,8,True,0,True
log-sigma-2-0-mm-3D_glcm_Idn,0.9010453114676122,22,0.11117812768150147,8,True,0,True
log-sigma-2-0-mm-3D_glcm_Imc1,0.6255286641085187,22,0.6674833391281563,8,False,0,False
log-sigma-2-0-mm-3D_glcm_Imc2,0.6603999574419172,22,0.6805689284975543,8,False,0,False
log-sigma-2-0-mm-3D_glcm_InverseVariance,0.7920966467688602,22,0.5709031706325034,8,True,0,True
log-sigma-2-0-mm-3D_glcm_JointAverage,0.7374675966843879,22,0.6013188240989817,8,False,0,False
log-sigma-2-0-mm-3D_glcm_JointEnergy,0.7884012865142117,22,0.823973427191469,8,True,0,True
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.8214509827695083,22,0.6935600416271216,8,True,0,True
log-sigma-2-0-mm-3D_glcm_MCC,0.6074274835998102,22,0.6654336776039713,8,False,0,False
log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.726572652593519,22,0.8603148345605646,8,False,0,False
log-sigma-2-0-mm-3D_glcm_SumAverage,0.7374675966843888,22,0.6013188240989819,8,False,0,False
log-sigma-2-0-mm-3D_glcm_SumEntropy,0.8253621790381824,22,0.6721424627931634,8,True,0,True
log-sigma-2-0-mm-3D_glcm_SumSquares,0.6565256767147433,22,0.46904222675123286,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.8525602206060244,22,0.5409072840644423,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8837626057023813,22,0.7433015090670196,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.6835538713267344,22,0.474122880015712,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.7013936126586622,22,0.38966387044760076,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.8537482511076985,22,0.8706233999483817,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.7474756756089506,22,0.4173491480025061,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5320429228676431,22,0.7688082127126169,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.5423038668067792,22,0.7009097855844405,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.7697721205045571,22,0.1225356816028136,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.6087589846148375,22,0.5395766995168619,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.872960750994444,22,0.902489826143506,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.8733983399007954,22,0.8916889057263253,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_RunVariance,0.8568968835247238,22,0.8518265278773486,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.8666449205340532,22,0.8961070187765392,8,True,0,True
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.6982319749045961,22,0.38133940932422244,8,False,0,False
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.5662077503886761,22,0.643730449266981,8,False,0,False
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.639471469350204,22,0.3921197646399243,8,False,0,False
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9441740091302686,22,-0.035324617675801,8,True,0,True
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.6946813196494767,22,-0.031084854545553403,8,False,0,False
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.7184706308728078,22,0.1883961317040865,8,False,0,False
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.8598318216930131,22,0.6450901109711678,8,True,0,True
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9225674490789757,22,0.5029100298324782,8,True,0,True
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.7945738451540758,22,0.6256055940605018,8,True,0,True
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.4079152584225824,22,0.39000723839688645,8,False,0,False
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.6013433129052531,22,0.40613611183481835,8,False,0,False
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3992439169195001,22,0.7418564873426744,8,False,0,False
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.3961871262165905,22,0.7257680411567785,8,False,0,False
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.6868843172499414,22,0.22795004832235558,8,False,0,False
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.424219856059283,22,0.3361321705578475,8,False,0,False
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.8633004328901216,22,-0.29722371127863423,8,True,0,True
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.8452666672242226,22,0.9317341688199114,8,True,0,True
log-sigma-2-0-mm-3D_glszm_ZoneVariance,0.8586661893520161,22,0.6401004860120126,8,True,0,True
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.6689643437423919,22,0.26928022947982116,8,False,0,False
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,0.5858405020174774,22,0.5138622702701183,8,False,0,False
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.8927229360986282,22,0.8779843049570167,8,True,0,True
log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.8308735677733388,22,0.883702091824576,8,True,0,True
