feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
wavelet-LHL_firstorder_InterquartileRange,0.8149903807776818,22,-0.7353294005763796,8,True,0,True
wavelet-LHL_firstorder_Kurtosis,0.7336338920326112,22,0.012260169251805115,8,False,0,False
wavelet-LHL_firstorder_Maximum,0.63679196522614,22,-0.552883224790481,8,False,0,False
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7776676157908229,22,-0.7684986865427159,8,True,0,True
wavelet-LHL_firstorder_Mean,0.5251018310409514,22,0.13116624830500082,8,False,0,False
wavelet-LHL_firstorder_Median,0.5264348021241527,22,0.32514658204687164,8,False,0,False
wavelet-LHL_firstorder_Minimum,0.7945544640960973,22,-0.06256310323938863,8,True,0,True
wavelet-LHL_firstorder_Range,0.7711887331910617,22,-0.37745557871667806,8,True,0,True
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.8091417445458797,22,-0.7431256517610516,8,True,0,True
wavelet-LHL_firstorder_RootMeanSquared,0.74898766527285,22,-0.7368582366873891,8,False,0,False
wavelet-LHL_firstorder_Skewness,0.6273824338596892,22,0.44592318848464496,8,False,0,False
wavelet-LHL_firstorder_TotalEnergy,0.44337455247717966,22,0.458766975197654,8,False,0,False
wavelet-LHL_firstorder_Uniformity,0.6326318599059799,22,-0.5041548603594922,8,False,0,False
wavelet-LHL_firstorder_Variance,0.7181423858858657,22,-0.6642650609139275,8,False,0,False
wavelet-LHL_glcm_Autocorrelation,0.8189539358945134,22,-0.05663461586939877,8,True,0,True
wavelet-LHL_glcm_ClusterProminence,0.35324109117225333,22,-0.3360049700966836,8,False,0,False
wavelet-LHL_glcm_ClusterShade,0.37187865837259393,22,0.42150910101166034,8,False,0,False
wavelet-LHL_glcm_ClusterTendency,0.6772895420933582,22,-0.6818005308393194,8,False,0,False
wavelet-LHL_glcm_Contrast,0.7217252623521815,22,-0.6530592256196314,8,False,0,False
wavelet-LHL_glcm_Correlation,0.3229676216245459,22,0.00972552348873217,8,False,0,False
wavelet-LHL_glcm_DifferenceAverage,0.7730084274124286,22,-0.6693752917227952,8,True,0,True
