analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,common_n,common_event_n,metric,left_estimate,right_estimate,delta_right_minus_left,left_source_run,right_source_run,left_training_population,right_training_population,fold_assignments_identical,common_population_rule
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,5_year_brier,0.164709895997406,0.1715500153295648,0.006840119332158806,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,harrell_c_index_pooled,0.6072073841319717,0.5977611940298507,-0.009446190102121,M2_R_low,M3L,R_low,R_low,True,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,uno_c_index,0.5765139942772057,0.5467048134841731,-0.02980918079303263,M2_R_low,M3L,R_low,R_low,True,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,3_year_auc,0.6559739390006206,0.6448372891776688,-0.011136649822951816,M2_R_low,M3L,R_low,R_low,True,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,3_year_brier,0.12393674848839956,0.12266288229353331,-0.0012738661948662466,M2_R_low,M3L,R_low,R_low,True,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,5_year_auc,0.6531893445014819,0.6303076278137446,-0.022881716687737308,M2_R_low,M3L,R_low,R_low,True,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,120,5_year_brier,0.15319392852112032,0.154244379251086,0.0010504507299656796,M2_R_low,M3L,R_low,R_low,True,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,harrell_c_index_pooled,0.6482382713646097,0.6400622931672182,-0.008175978197391465,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,uno_c_index,0.6658257912007465,0.6558066870105375,-0.010019104190209016,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,3_year_auc,0.6146714355625196,0.61548341525926,0.0008119796967404058,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,3_year_brier,0.13164163317227226,0.12768411060398754,-0.003957522568284716,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,5_year_auc,0.6689056432025773,0.660310379818495,-0.00859526338408223,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,42,5_year_brier,0.16750048515320468,0.1722711066919304,0.004770621538725733,M2_R_low,M3L,R_low,R_low,not_applicable_external,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,harrell_c_index_pooled,0.6089499608194335,0.6154147542818762,0.006464793462442664,M2_R_high,M3H,R_high,R_high,True,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,uno_c_index,0.6048518814060637,0.6002857160256866,-0.00456616538037713,M2_R_high,M3H,R_high,R_high,True,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,3_year_auc,0.6547582529888692,0.656154805316786,0.0013965523279168002,M2_R_high,M3H,R_high,R_high,True,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,3_year_brier,0.12487187651360328,0.12287707451625904,-0.0019948019973442394,M2_R_high,M3H,R_high,R_high,True,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,5_year_auc,0.6569067995834367,0.6562847858509891,-0.0006220137324475239,M2_R_high,M3H,R_high,R_high,True,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,100,5_year_brier,0.15608744250245926,0.15360641446057752,-0.0024810280418817443,M2_R_high,M3H,R_high,R_high,True,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,harrell_c_index_pooled,0.6548194483935172,0.6889394370201877,0.03411998862667043,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,uno_c_index,0.6747758847666546,0.6807916397378064,0.00601575497115181,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,3_year_auc,0.6047233770803625,0.657207394092208,0.05248401701184546,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,3_year_brier,0.1374908282391355,0.12616812914405273,-0.011322699095082767,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,5_year_auc,0.6811032957811248,0.7158292987461187,0.03472600296499384,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,35,5_year_brier,0.16944044764670882,0.15661198795262696,-0.012828459694081862,M2_R_high,M3H,R_high,R_high,not_applicable_external,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,harrell_c_index_pooled,0.6125814964296802,0.603287022663769,-0.009294473765911193,M1,M2,main,main,True,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,uno_c_index,0.598590629133724,0.5767388523858256,-0.0218517767478984,M1,M2,main,main,True,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,3_year_auc,0.6515365691781744,0.6519367176871275,0.00040014850895309095,M1,M2,main,main,True,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,3_year_brier,0.12140580150514275,0.1234248647720147,0.0020190632668719427,M1,M2,main,main,True,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,5_year_auc,0.6655806759438574,0.6480819433705894,-0.01749873257326795,M1,M2,main,main,True,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,121,5_year_brier,0.15199885220956885,0.1541778545843187,0.0021790023747498555,M1,M2,main,main,True,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,42,harrell_c_index_pooled,0.6679544137531389,0.6515356384006181,-0.016418775352520787,M1,M2,main,main,not_applicable_external,True
