feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.5164628568142053,22,0.13602178504694662,8,False
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.501675456471081,22,0.2508230012318361,8,False
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.761077351480884,22,0.6790820449736978,8,True
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.7505841665776809,22,0.08164120641776652,8,True
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.7293510362162006,22,0.0903329464661961,8,False
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.3929297063227541,22,0.6597683214505199,8,False
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.4918397233732162,22,0.23270969033219222,8,False
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.3166993522744659,22,0.5240709920456973,8,False
log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.7405538969792049,22,-0.09138137331520281,8,False
log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.7326961793540446,22,-0.07337170911206135,8,False
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.2717797659677978,22,0.61485868674437,8,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.7466431341817409,22,0.655975605869555,8,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.7692482357265016,22,-0.1514880192961555,8,True
log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.7557756774388142,22,-0.1953793431054417,8,True
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.7632229580877467,22,0.41845611284457074,8,True
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.7628375279387912,22,0.6805948371381105,8,True
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,0.39888223681813545,22,0.6500313320617571,8,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,0.7458793076814686,22,-0.19865176453301978,8,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.45348775464321217,22,0.5166093105005818,8,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5700706040583403,22,0.2853834538148202,8,False
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.5065017420291141,22,0.2424444452819675,8,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.7523027583365591,22,-0.08761643604493691,8,True
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.38314416948593416,22,0.7040302838665811,8,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.47685435258006414,22,0.19312082622459759,8,False
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.6714964159022967,22,0.5419736926577413,8,False
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.6913984222858304,22,0.16979246878246468,8,False
log-sigma-1-0-mm-3D_ngtdm_Complexity,0.5499257217449788,22,0.5731815161212477,8,False
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.7818300212855104,22,-0.1807250426211324,8,True
log-sigma-1-0-mm-3D_ngtdm_Strength,0.6399640174277688,22,0.5167707143809886,8,False
log-sigma-2-0-mm-3D_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
log-sigma-2-0-mm-3D_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
log-sigma-2-0-mm-3D_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
log-sigma-2-0-mm-3D_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
log-sigma-2-0-mm-3D_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
log-sigma-2-0-mm-3D_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
log-sigma-2-0-mm-3D_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
log-sigma-2-0-mm-3D_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
log-sigma-2-0-mm-3D_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
log-sigma-2-0-mm-3D_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
log-sigma-2-0-mm-3D_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
log-sigma-2-0-mm-3D_firstorder_10Percentile,0.8578763127187863,22,0.7887103096824775,8,True
log-sigma-2-0-mm-3D_firstorder_90Percentile,0.7985110547764981,22,-0.12465373961218837,8,True
log-sigma-2-0-mm-3D_firstorder_Energy,0.7186750635153136,22,0.5525021505789842,8,False
log-sigma-2-0-mm-3D_firstorder_Entropy,0.7879901483353338,22,0.5892715414755348,8,True
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.8282847054450844,22,0.48322147651006714,8,True
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7826926713586335,22,0.711700007950718,8,True
log-sigma-2-0-mm-3D_firstorder_Maximum,0.6323966350456415,22,0.6415280750864483,8,False
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.8206759291973676,22,0.5609037394978398,8,True
log-sigma-2-0-mm-3D_firstorder_Mean,0.8028061100561746,22,0.5079546058966643,8,True
log-sigma-2-0-mm-3D_firstorder_Median,0.6962907455976023,22,0.5333333333333333,8,False
log-sigma-2-0-mm-3D_firstorder_Minimum,0.7966461633620843,22,0.7807634131150457,8,True
log-sigma-2-0-mm-3D_firstorder_Range,0.7037373638511766,22,0.4848331966954657,8,False
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.8494849483251804,22,0.5970669302604137,8,True
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.806757165708156,22,0.42939506470942235,8,True
log-sigma-2-0-mm-3D_firstorder_Skewness,0.8025562725603855,22,0.9434291074988207,8,True
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.7186750635153136,22,0.5525021505789842,8,False
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.8141343009361564,22,0.6202456986575181,8,True
log-sigma-2-0-mm-3D_firstorder_Variance,0.7567777008199372,22,0.5278891916030009,8,True
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.7683560906521291,22,0.7425915370995203,8,True
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.6056514393542155,22,0.615880391596874,8,False
log-sigma-2-0-mm-3D_glcm_ClusterShade,0.6054548298950547,22,0.9408837485508554,8,False
log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.8148920499655318,22,0.6441511340351208,8,True
log-sigma-2-0-mm-3D_glcm_Contrast,0.7149614460175735,22,0.40939484285078326,8,False
log-sigma-2-0-mm-3D_glcm_Correlation,0.5803788993153672,22,0.6171605156622619,8,False
log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.77713967477202,22,0.4383791778801014,8,True
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.7994922616274854,22,0.48771463964414585,8,True
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.7005151390409035,22,0.43418674111480565,8,False
log-sigma-2-0-mm-3D_glcm_Id,0.8311958251021586,22,0.44773491416258837,8,True
log-sigma-2-0-mm-3D_glcm_Idm,0.8388433315814731,22,0.44373929755039326,8,True
log-sigma-2-0-mm-3D_glcm_Idmn,0.9214456346208156,22,-0.08290927109804562,8,True
log-sigma-2-0-mm-3D_glcm_Idn,0.9058888477336833,22,0.026790408853284087,8,True
log-sigma-2-0-mm-3D_glcm_Imc1,0.585861918425955,22,0.26580636050715345,8,False
log-sigma-2-0-mm-3D_glcm_Imc2,0.6793219851963921,22,0.38533733045125296,8,False
log-sigma-2-0-mm-3D_glcm_InverseVariance,0.8293867634634927,22,0.4348170194579715,8,True
log-sigma-2-0-mm-3D_glcm_JointAverage,0.8267643362865682,22,0.8029074140981041,8,True
log-sigma-2-0-mm-3D_glcm_JointEnergy,0.8436760502959311,22,0.6916127216842496,8,True
