feature,stage,reason
log-sigma-2-0-mm-3D_glcm_Imc2,icc,ICC_A=0.684 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_JointAverage,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_MCC,icc,ICC_A=0.613 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_MaximumProbability,icc,ICC_A=0.702 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_SumAverage,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.657 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,icc,ICC_A=0.684 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.697 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.712 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.651 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.647 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.668 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.695 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.650 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,icc,ICC_A=0.620 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,icc,ICC_A=0.667 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.698 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.629 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,icc,ICC_A=0.579 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.745 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.680 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.648 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_DependenceEntropy,icc,ICC_A=0.641 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.587 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance,icc,ICC_A=0.684 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.697 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.712 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.650 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.676 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.655 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.603 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Strength,icc,ICC_A=0.656 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-3-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-3-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-3-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-3-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-3-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.719 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Energy,icc,ICC_A=0.715 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.747 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Median,icc,ICC_A=0.732 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.715 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Variance,icc,ICC_A=0.669 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Autocorrelation,icc,ICC_A=0.734 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.400 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.662 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.632 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Contrast,icc,ICC_A=0.728 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Correlation,icc,ICC_A=0.628 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.709 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Imc1,icc,ICC_A=0.570 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Imc2,icc,ICC_A=0.670 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_JointAverage,icc,ICC_A=0.746 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_MCC,icc,ICC_A=0.678 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_SumAverage,icc,ICC_A=0.746 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.640 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,icc,ICC_A=0.667 ≤ 0.75
log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.733 ≤ 0.75
