repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
5,4,7,102,0,0
5,4,8,102,0,0
5,4,9,102,0,0
5,4,10,102,0,0
5,4,11,102,0,0
5,4,12,102,0,0
5,4,13,102,0,0
5,4,14,102,0,0
5,4,15,102,0,0
5,4,16,102,0,0
5,4,17,102,0,0
5,4,18,102,0,0
5,4,19,102,0,0
5,4,20,102,0,0
5,5,1,104,2,0
5,5,2,104,2,0
5,5,3,104,2,0
5,5,4,104,2,0
5,5,5,104,2,0
5,5,6,104,2,0
5,5,7,104,2,0
5,5,8,104,2,0
5,5,9,104,2,0
5,5,10,104,2,0
5,5,11,104,2,0
5,5,12,104,2,0
5,5,13,104,2,0
5,5,14,104,2,0
5,5,15,104,2,0
5,5,16,104,2,0
5,5,17,104,2,0
5,5,18,104,2,0
5,5,19,104,2,0
5,5,20,104,2,0
6,1,1,103,0,0
6,1,2,103,0,0
6,1,3,103,0,0
6,1,4,103,0,0
6,1,5,103,0,0
6,1,6,103,0,0
6,1,7,103,0,0
6,1,8,103,0,0
6,1,9,103,0,0
6,1,10,103,0,0
6,1,11,103,0,0
6,1,12,103,0,0
6,1,13,103,0,0
6,1,14,103,0,0
6,1,15,103,0,0
6,1,16,103,0,0
6,1,17,103,0,0
6,1,18,103,0,0
6,1,19,103,0,0
6,1,20,103,0,0
6,2,1,105,0,0
6,2,2,105,0,0
6,2,3,105,0,0
6,2,4,105,0,0
6,2,5,105,0,0
6,2,6,105,0,0
6,2,7,105,0,0
6,2,8,105,0,0
6,2,9,105,0,0
6,2,10,105,0,0
6,2,11,105,0,0
6,2,12,105,0,0
6,2,13,105,0,0
6,2,14,105,0,0
6,2,15,105,0,0
6,2,16,105,0,0
6,2,17,105,0,0
6,2,18,105,0,0
6,2,19,105,0,0
6,2,20,105,0,0
6,3,1,104,4,0
6,3,2,104,4,0
6,3,3,104,4,0
6,3,4,104,4,0
6,3,5,104,4,0
6,3,6,104,4,0
6,3,7,104,4,0
6,3,8,104,4,0
6,3,9,104,4,0
6,3,10,104,4,0
6,3,11,104,4,0
6,3,12,104,4,0
6,3,13,104,4,0
6,3,14,104,4,0
6,3,15,104,4,0
6,3,16,104,4,0
6,3,17,104,4,0
6,3,18,104,4,0
6,3,19,104,4,0
6,3,20,104,4,0
6,4,1,105,4,0
6,4,2,105,4,0
6,4,3,105,4,0
6,4,4,105,4,0
6,4,5,105,4,0
6,4,6,105,4,0
6,4,7,105,4,0
6,4,8,105,4,0
6,4,9,105,4,0
6,4,10,105,4,0
6,4,11,105,4,0
6,4,12,105,4,0
6,4,13,105,4,0
6,4,14,105,4,0
6,4,15,105,4,0
6,4,16,105,4,0
6,4,17,105,4,0
6,4,18,105,4,0
6,4,19,105,4,0
6,4,20,105,4,0
6,5,1,105,1,0
6,5,2,105,1,0
6,5,3,105,1,0
6,5,4,105,1,0
6,5,5,105,1,0
6,5,6,105,1,0
6,5,7,105,1,0
6,5,8,105,1,0
6,5,9,105,1,0
6,5,10,105,1,0
6,5,11,105,1,0
6,5,12,105,1,0
6,5,13,105,1,0
6,5,14,105,1,0
6,5,15,105,1,0
6,5,16,105,1,0
6,5,17,105,1,0
6,5,18,105,1,0
6,5,19,105,1,0
6,5,20,105,1,0
7,1,1,106,0,0
7,1,2,106,0,0
7,1,3,106,0,0
7,1,4,106,0,0
7,1,5,106,0,0
7,1,6,106,0,0
7,1,7,106,0,0
7,1,8,106,0,0
7,1,9,106,0,0
7,1,10,106,0,0
7,1,11,106,0,0
7,1,12,106,0,0
7,1,13,106,0,0
7,1,14,106,0,0
7,1,15,106,0,0
7,1,16,106,0,0
7,1,17,106,0,0
7,1,18,106,0,0
7,1,19,106,0,0
7,1,20,106,0,0
7,2,1,102,9,0
7,2,2,102,9,0
7,2,3,102,9,0
7,2,4,102,9,0
7,2,5,102,9,7
7,2,6,102,9,5
7,2,7,102,9,0
7,2,8,102,9,7
7,2,9,102,9,5
7,2,10,102,9,0
7,2,11,102,9,5
7,2,12,102,9,0
7,2,13,102,9,0
7,2,14,102,9,0
7,2,15,102,9,0
7,2,16,102,9,0
7,2,17,102,9,0
7,2,18,102,9,0
7,2,19,102,9,7
7,2,20,102,9,0
7,3,1,105,0,0
7,3,2,105,0,0
7,3,3,105,0,0
7,3,4,105,0,0
7,3,5,105,0,0
7,3,6,105,0,0
7,3,7,105,0,0
7,3,8,105,0,0
7,3,9,105,0,0
7,3,10,105,0,0
7,3,11,105,0,0
7,3,12,105,0,0
7,3,13,105,0,0
7,3,14,105,0,0
7,3,15,105,0,0
7,3,16,105,0,0
7,3,17,105,0,0
7,3,18,105,0,0
7,3,19,105,0,0
7,3,20,105,0,0
7,4,1,106,4,0
7,4,2,106,4,0
7,4,3,106,4,0
7,4,4,106,4,0
7,4,5,106,4,0
7,4,6,106,4,0
7,4,7,106,4,0
7,4,8,106,4,0
7,4,9,106,4,0
7,4,10,106,4,0
7,4,11,106,4,0
7,4,12,106,4,0
7,4,13,106,4,0
7,4,14,106,4,0
7,4,15,106,4,0
7,4,16,106,4,0
7,4,17,106,4,0
7,4,18,106,4,0
7,4,19,106,4,0
7,4,20,106,4,0
7,5,1,105,0,0
7,5,2,105,0,0
7,5,3,105,0,0
7,5,4,105,0,0
7,5,5,105,0,0
7,5,6,105,0,0
7,5,7,105,0,0
7,5,8,105,0,0
7,5,9,105,0,0
7,5,10,105,0,0
7,5,11,105,0,0
7,5,12,105,0,0
7,5,13,105,0,0
7,5,14,105,0,0
7,5,15,105,0,0
7,5,16,105,0,0
7,5,17,105,0,0
7,5,18,105,0,0
7,5,19,105,0,0
7,5,20,105,0,0
8,1,1,106,0,0
8,1,2,106,0,0
8,1,3,106,0,0
8,1,4,106,0,0
8,1,5,106,0,0
8,1,6,106,0,0
8,1,7,106,0,0
8,1,8,106,0,0
8,1,9,106,0,0
8,1,10,106,0,0
8,1,11,106,0,0
8,1,12,106,0,0
8,1,13,106,0,0
8,1,14,106,0,0
8,1,15,106,0,0
8,1,16,106,0,0
8,1,17,106,0,0
8,1,18,106,0,0
8,1,19,106,0,0
8,1,20,106,0,0
8,2,1,103,3,0
8,2,2,103,3,0
8,2,3,103,3,0
8,2,4,103,3,0
8,2,5,103,3,0
8,2,6,103,3,0
8,2,7,103,3,0
8,2,8,103,3,0
8,2,9,103,3,0
8,2,10,103,3,0
8,2,11,103,3,0
8,2,12,103,3,0
8,2,13,103,3,0
8,2,14,103,3,0
8,2,15,103,3,0
8,2,16,103,3,0
8,2,17,103,3,0
8,2,18,103,3,0
8,2,19,103,3,0
