feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.7664405581331319,22,0.9021900533650912,8,True
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.6917981965022454,22,0.8458765579916405,8,False
log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.7653583976282725,22,0.1384578929160291,8,True
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.6095099302717563,22,0.5418650126268915,8,False
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.8792502964551279,22,0.8964710054157548,8,True
log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.883260935979825,22,0.8913175912822919,8,True
log-sigma-2-0-mm-3D_glrlm_RunVariance,0.8817498937619106,22,0.8701810347323267,8,True
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.8739669284991298,22,0.8886118424774601,8,True
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.7112497360885665,22,0.4076352670779235,8,False
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.6816275130964972,22,0.8107896822336803,8,False
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.6453404602487486,22,0.3880004217558584,8,False
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9192455882751743,22,0.24297451085310767,8,True
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.6832846733360378,22,0.08691807972434984,8,False
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.7317805349504374,22,0.2161233077025285,8,False
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.8599126032538773,22,0.6309883058612388,8,True
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.93425498955598,22,0.5783440516518779,8,True
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.9064208413337125,22,0.7785769066391799,8,True
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.7278862869854155,22,0.49628007323077405,8,False
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.5981605026457604,22,0.36376830620484785,8,False
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.5095559080836204,22,0.6174116437930053,8,False
