影像号,读者,split,filter,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-B842AB8222,R1,A,wavelet-HLH,1973,0,0,0.0,0.0,-1.7260702848434448,1.5526602268218994
IMG-B842AB8222,R1,A,wavelet-HHL,1973,0,0,0.0,0.0,-2.8423147201538086,3.3420770168304443
IMG-B842AB8222,R1,A,wavelet-HHH,1973,0,0,0.0,0.0,-0.943959653377533,1.1658459901809692
IMG-B842AB8222,R1,A,wavelet-LLL,1973,0,0,0.0,0.0,2.9112298488616943,14.507282257080078
IMG-B842AB8222,R1,A,log-sigma-1-0-mm-3D,1973,0,0,0.0,0.0,-0.905947744846344,1.496262550354004
IMG-B842AB8222,R1,A,log-sigma-2-0-mm-3D,1973,0,0,0.0,0.0,-0.5982188582420349,1.6594902276992798
IMG-B842AB8222,R1,A,log-sigma-3-0-mm-3D,1973,0,0,0.0,0.0,-0.42475828528404236,1.6458905935287476
IMG-03F1BA49E0,R1,A,wavelet-LLH,14394,0,0,0.0,0.0,-3.6783013343811035,2.9030871391296387
IMG-03F1BA49E0,R1,A,wavelet-LHL,14394,0,0,0.0,0.0,-3.9667139053344727,3.3550655841827393
IMG-03F1BA49E0,R1,A,wavelet-LHH,14394,0,0,0.0,0.0,-1.679038405418396,1.909266710281372
IMG-03F1BA49E0,R1,A,wavelet-HLL,14394,0,0,0.0,0.0,-5.355628967285156,4.552709102630615
IMG-03F1BA49E0,R1,A,wavelet-HLH,14394,0,0,0.0,0.0,-2.273983955383301,2.613117218017578
IMG-03F1BA49E0,R1,A,wavelet-HHL,14394,0,0,0.0,0.0,-4.776278972625732,3.756103038787842
IMG-03F1BA49E0,R1,A,wavelet-HHH,14394,0,0,0.0,0.0,-1.6023179292678833,1.8033602237701416
IMG-03F1BA49E0,R1,A,wavelet-LLL,14394,0,0,0.0,0.0,3.8211841583251953,24.545948028564453
IMG-03F1BA49E0,R1,A,log-sigma-1-0-mm-3D,14394,0,0,0.0,0.0,-2.6638219356536865,1.5965898036956787
IMG-03F1BA49E0,R1,A,log-sigma-2-0-mm-3D,14394,0,0,0.0,0.0,-3.4564056396484375,1.3473317623138428
IMG-03F1BA49E0,R1,A,log-sigma-3-0-mm-3D,14394,0,0,0.0,0.0,-2.096566915512085,1.5441017150878906
IMG-2F73457616,R1,A,wavelet-LLH,6836,0,0,0.0,0.0,-2.786773443222046,2.0911543369293213
IMG-2F73457616,R1,A,wavelet-LHL,6836,0,0,0.0,0.0,-2.2654542922973633,1.9915416240692139
IMG-2F73457616,R1,A,wavelet-LHH,6836,0,0,0.0,0.0,-1.1042108535766602,1.0186806917190552
IMG-2F73457616,R1,A,wavelet-HLL,6836,0,0,0.0,0.0,-1.9833097457885742,2.4158854484558105
IMG-2F73457616,R1,A,wavelet-HLH,6836,0,0,0.0,0.0,-0.761834442615509,1.108012318611145
IMG-2F73457616,R1,A,wavelet-HHL,6836,0,0,0.0,0.0,-1.9045424461364746,1.3100643157958984
IMG-2F73457616,R1,A,wavelet-HHH,6836,0,0,0.0,0.0,-0.5503616333007812,0.5734621286392212
IMG-2F73457616,R1,A,wavelet-LLL,6836,0,0,0.0,0.0,2.1467602252960205,8.960745811462402
IMG-2F73457616,R1,A,log-sigma-1-0-mm-3D,6836,0,0,0.0,0.0,-0.7730441093444824,0.8217983245849609
IMG-2F73457616,R1,A,log-sigma-2-0-mm-3D,6836,0,0,0.0,0.0,-0.9831210374832153,0.818739652633667
IMG-2F73457616,R1,A,log-sigma-3-0-mm-3D,6836,0,0,0.0,0.0,-0.9984030723571777,0.6822468042373657
IMG-887B5BBEA4,R1,A,wavelet-LLH,9742,0,0,0.0,0.0,-2.4037647247314453,1.8735382556915283
IMG-887B5BBEA4,R1,A,wavelet-LHL,9742,0,0,0.0,0.0,-2.952129364013672,2.436213970184326
IMG-887B5BBEA4,R1,A,wavelet-LHH,9742,0,0,0.0,0.0,-1.1613856554031372,1.0735474824905396
IMG-887B5BBEA4,R1,A,wavelet-HLL,9742,0,0,0.0,0.0,-2.7246687412261963,2.7816150188446045
IMG-887B5BBEA4,R1,A,wavelet-HLH,9742,0,0,0.0,0.0,-1.0620415210723877,1.014451265335083
IMG-887B5BBEA4,R1,A,wavelet-HHL,9742,0,0,0.0,0.0,-1.6266413927078247,1.8846052885055542
IMG-887B5BBEA4,R1,A,wavelet-HHH,9742,0,0,0.0,0.0,-0.7536991834640503,0.8722111582756042
IMG-887B5BBEA4,R1,A,wavelet-LLL,9742,0,0,0.0,0.0,2.5710878372192383,12.270309448242188
IMG-887B5BBEA4,R1,A,log-sigma-1-0-mm-3D,9742,0,0,0.0,0.0,-1.0043972730636597,1.0665348768234253
IMG-887B5BBEA4,R1,A,log-sigma-2-0-mm-3D,9742,0,0,0.0,0.0,-1.008695363998413,1.147106409072876
IMG-887B5BBEA4,R1,A,log-sigma-3-0-mm-3D,9742,0,0,0.0,0.0,-1.1218624114990234,1.2064249515533447
IMG-AD2B6907E7,R1,A,wavelet-LLH,7904,0,0,0.0,0.0,-3.326657295227051,2.2274112701416016
IMG-AD2B6907E7,R1,A,wavelet-LHL,7904,0,0,0.0,0.0,-2.9269332885742188,2.4167866706848145
IMG-AD2B6907E7,R1,A,wavelet-LHH,7904,0,0,0.0,0.0,-0.8696845769882202,1.1785919666290283
IMG-AD2B6907E7,R1,A,wavelet-HLL,7904,0,0,0.0,0.0,-2.728644847869873,2.1197402477264404
IMG-AD2B6907E7,R1,A,wavelet-HLH,7904,0,0,0.0,0.0,-0.8847246766090393,0.9791638851165771
IMG-AD2B6907E7,R1,A,wavelet-HHL,7904,0,0,0.0,0.0,-1.3368196487426758,1.597370982170105
IMG-AD2B6907E7,R1,A,wavelet-HHH,7904,0,0,0.0,0.0,-0.7273200154304504,0.6668400168418884
IMG-AD2B6907E7,R1,A,wavelet-LLL,7904,0,0,0.0,0.0,2.6346540451049805,12.54838752746582
IMG-AD2B6907E7,R1,A,log-sigma-1-0-mm-3D,7904,0,0,0.0,0.0,-0.7697879076004028,1.1565494537353516
IMG-AD2B6907E7,R1,A,log-sigma-2-0-mm-3D,7904,0,0,0.0,0.0,-1.1117948293685913,0.8712732195854187
