feature,icc_before,n_pairs_x,icc_after,n_pairs_y,norm
original_firstorder_Variance,0.693735856425574,22,0.6981109745581671,22,muscle
original_glcm_Autocorrelation,0.7123619724080473,22,0.713950146682472,22,muscle
original_glcm_ClusterProminence,0.4281825053290379,22,0.4288698218225831,22,muscle
original_glcm_ClusterShade,0.3964108936954931,22,0.38822211122599154,22,muscle
original_glcm_ClusterTendency,0.7148658218191092,22,0.7165283653060807,22,muscle
original_glcm_Contrast,0.6372692904919237,22,0.6399391388570582,22,muscle
original_glcm_Correlation,0.8812547464811282,22,0.8796343993749108,22,muscle
original_glcm_DifferenceAverage,0.7481445141774757,22,0.7516429676564121,22,muscle
original_glcm_DifferenceEntropy,0.7403579711515718,22,0.7424060287021157,22,muscle
original_glcm_DifferenceVariance,0.5807741058408668,22,0.5832961689992531,22,muscle
original_glcm_Id,0.803176414315716,22,0.8037338161586072,22,muscle
original_glcm_Idm,0.8016860809109531,22,0.8030986740149716,22,muscle
original_glcm_Idmn,0.6466230670751892,22,0.6158202241346736,22,muscle
original_glcm_Idn,0.6173732360035695,22,0.6194329672712494,22,muscle
original_glcm_Imc1,0.7991240938808634,22,0.7981439712568904,22,muscle
original_glcm_Imc2,0.8789216709176966,22,0.8773057410526882,22,muscle
original_glcm_InverseVariance,0.7534840374643488,22,0.7535801583974538,22,muscle
original_glcm_JointAverage,0.776539965328143,22,0.778927268263677,22,muscle
original_glcm_JointEnergy,0.8593245415627354,22,0.8371250206088597,22,muscle
original_glcm_JointEntropy,0.7927505042884213,22,0.7941620091300984,22,muscle
original_glcm_MCC,0.8366593984843189,22,0.8335121761992877,22,muscle
original_glcm_MaximumProbability,0.862753779797257,22,0.8692311831834099,22,muscle
original_glcm_SumAverage,0.776539965328143,22,0.7789272682636776,22,muscle
original_glcm_SumEntropy,0.8134891443421325,22,0.8139890322969222,22,muscle
original_glcm_SumSquares,0.7043721617022523,22,0.706243655576914,22,muscle
original_glrlm_GrayLevelNonUniformity,0.860677698692778,22,0.8601184596033028,22,muscle
original_glrlm_GrayLevelNonUniformityNormalized,0.7971798032085002,22,0.7779617454001729,22,muscle
original_glrlm_GrayLevelVariance,0.683906736503499,22,0.686326793993608,22,muscle
original_glrlm_HighGrayLevelRunEmphasis,0.6919890075954299,22,0.6938278046831143,22,muscle
original_glrlm_LongRunEmphasis,0.8959338068674175,22,0.8705015971599184,22,muscle
original_glrlm_LongRunHighGrayLevelEmphasis,0.682125737940034,22,0.685403793785517,22,muscle
original_glrlm_LongRunLowGrayLevelEmphasis,0.8832685555999678,22,0.7530240448566494,22,muscle
original_glrlm_LowGrayLevelRunEmphasis,0.7852431185549719,22,0.8017654392448818,22,muscle
original_glrlm_RunEntropy,0.7298464279359884,22,0.7325914994761936,22,muscle
original_glrlm_RunLengthNonUniformity,0.6524974038174919,22,0.6527470051113011,22,muscle
original_glrlm_RunLengthNonUniformityNormalized,0.8414962511882126,22,0.8419087711528463,22,muscle
original_glrlm_RunPercentage,0.8618603890805794,22,0.858226230620667,22,muscle
original_glrlm_RunVariance,0.9174399100541644,22,0.8894731341304668,22,muscle
original_glrlm_ShortRunEmphasis,0.8418534763297848,22,0.8394956131750634,22,muscle
original_glrlm_ShortRunHighGrayLevelEmphasis,0.6890853272503119,22,0.6908725093404614,22,muscle
original_glrlm_ShortRunLowGrayLevelEmphasis,0.7309159715006528,22,0.795278138141534,22,muscle
original_glszm_GrayLevelNonUniformity,0.6538074399536118,22,0.659819732353856,22,muscle
original_glszm_GrayLevelNonUniformityNormalized,0.7733181375000716,22,0.7041541445078935,22,muscle
original_glszm_GrayLevelVariance,0.5471877791472111,22,0.5458293273273149,22,muscle
original_glszm_HighGrayLevelZoneEmphasis,0.580800944652103,22,0.5833643784963406,22,muscle
original_glszm_LargeAreaEmphasis,0.7878203280775786,22,0.783904229284503,22,muscle
