变体,尺度mm,K,descriptor,n,ICC_2_1
roi_dilate1,8.0,2,H_high_component_density,18,0.7268336554525167
roi_dilate1,8.0,2,habitat_interface_density,18,0.502851340243789
roi_dilate1,8.0,2,H_high_radial_index,16,0.3881254926556455
roi_dilate1,8.0,2,signal_contrast,16,0.8652891176778352
roi_dilate1,8.0,3,H_high_fraction,18,0.8572050247889095
roi_dilate1,8.0,3,H_high_largest_component_fraction,18,0.7981440998403921
roi_dilate1,8.0,3,H_high_component_density,18,0.4180166514770884
roi_dilate1,8.0,3,habitat_interface_density,18,0.6504842891056595
roi_dilate1,8.0,3,H_high_radial_index,15,0.6689603909632152
roi_dilate1,8.0,3,signal_contrast,14,0.6931957366033487
roi_erode1,4.0,2,H_high_fraction,18,0.8945675160369261
roi_erode1,4.0,2,H_high_largest_component_fraction,18,0.4399677359873121
roi_erode1,4.0,2,H_high_component_density,18,0.6347964199238583
roi_erode1,4.0,2,habitat_interface_density,18,0.6893481271153118
roi_erode1,4.0,2,H_high_radial_index,9,0.37074917890171605
roi_erode1,4.0,2,signal_contrast,6,0.09030526144014879
roi_erode1,4.0,3,H_high_fraction,18,0.9797504845191463
roi_erode1,4.0,3,H_high_largest_component_fraction,18,0.5812890560905951
roi_erode1,4.0,3,H_high_component_density,18,0.6937330789090425
roi_erode1,4.0,3,habitat_interface_density,18,0.6461002124730896
roi_erode1,4.0,3,H_high_radial_index,9,0.552578887469212
roi_erode1,4.0,3,signal_contrast,3,0.10739288594481536
roi_erode1,6.0,2,H_high_fraction,18,0.9261856993937406
roi_erode1,6.0,2,H_high_largest_component_fraction,18,0.7826672105002029
roi_erode1,6.0,2,H_high_component_density,18,0.3598851081425822
roi_erode1,6.0,2,habitat_interface_density,18,0.6080133088509703
roi_erode1,6.0,2,H_high_radial_index,14,0.3263495223475695
roi_erode1,6.0,2,signal_contrast,12,0.5539041638777285
roi_erode1,6.0,3,H_high_fraction,18,0.975311393407262
roi_erode1,6.0,3,H_high_largest_component_fraction,18,0.6855853038720563
roi_erode1,6.0,3,H_high_component_density,18,0.6056253588847502
roi_erode1,6.0,3,habitat_interface_density,18,0.56200179053848
roi_erode1,6.0,3,H_high_radial_index,11,0.2935994436916307
roi_erode1,6.0,3,signal_contrast,6,0.22483970219329105
roi_erode1,8.0,2,H_high_fraction,18,0.9299856262733515
roi_erode1,8.0,2,H_high_largest_component_fraction,18,0.5568427913980895
roi_erode1,8.0,2,H_high_component_density,18,0.16352341033900047
roi_erode1,8.0,2,habitat_interface_density,18,0.5776943944505318
roi_erode1,8.0,2,H_high_radial_index,13,0.10502839435042481
roi_erode1,8.0,2,signal_contrast,12,0.7841942472479151
roi_erode1,8.0,3,H_high_fraction,18,0.9756632833974824
roi_erode1,8.0,3,H_high_largest_component_fraction,18,0.6623930417708899
roi_erode1,8.0,3,H_high_component_density,18,0.2472264111447007
roi_erode1,8.0,3,habitat_interface_density,18,0.43772260112795486
roi_erode1,8.0,3,H_high_radial_index,9,-0.38994968994174845
roi_erode1,8.0,3,signal_contrast,5,0.1503505524251306
