变体,尺度mm,K,descriptor,n,ICC_2_1,方法
patient_k2_roi_erode1,8.0,2,H_high_largest_component_fraction,18,0.5590510442806268,patient_k2
patient_k2_roi_erode1,8.0,2,H_high_component_density,18,0.06961420003987823,patient_k2
patient_k2_roi_erode1,8.0,2,habitat_interface_density,18,0.370539820668085,patient_k2
patient_k2_roi_erode1,8.0,2,H_high_radial_index,18,0.5970108206944762,patient_k2
patient_k2_roi_erode1,8.0,2,signal_contrast,18,0.7261560597599914,patient_k2
patient_otsu_1x1x2,4.0,2,H_high_fraction,18,0.45458213607098347,patient_otsu
patient_otsu_1x1x2,4.0,2,H_high_largest_component_fraction,18,0.2656210000895857,patient_otsu
patient_otsu_1x1x2,4.0,2,H_high_component_density,18,0.6528546756382716,patient_otsu
patient_otsu_1x1x2,4.0,2,habitat_interface_density,18,0.5306702506493445,patient_otsu
patient_otsu_1x1x2,4.0,2,H_high_radial_index,18,0.33532980620064445,patient_otsu
patient_otsu_1x1x2,4.0,2,signal_contrast,18,0.5860742552614823,patient_otsu
patient_otsu_1x1x2,6.0,2,H_high_fraction,18,0.5957977931275052,patient_otsu
patient_otsu_1x1x2,6.0,2,H_high_largest_component_fraction,18,0.021921499051088367,patient_otsu
patient_otsu_1x1x2,6.0,2,H_high_component_density,18,0.6361837163908789,patient_otsu
patient_otsu_1x1x2,6.0,2,habitat_interface_density,18,0.38940229318101693,patient_otsu
patient_otsu_1x1x2,6.0,2,H_high_radial_index,18,0.33483763206398626,patient_otsu
patient_otsu_1x1x2,6.0,2,signal_contrast,18,0.3731645368070055,patient_otsu
patient_otsu_1x1x2,8.0,2,H_high_fraction,18,0.6236595291986309,patient_otsu
patient_otsu_1x1x2,8.0,2,H_high_largest_component_fraction,18,-0.023840544518016836,patient_otsu
patient_otsu_1x1x2,8.0,2,H_high_component_density,18,0.33872590958881593,patient_otsu
patient_otsu_1x1x2,8.0,2,habitat_interface_density,18,0.17161991620477787,patient_otsu
patient_otsu_1x1x2,8.0,2,H_high_radial_index,18,0.2614199634783561,patient_otsu
patient_otsu_1x1x2,8.0,2,signal_contrast,18,0.5228556785849261,patient_otsu
