feature,stage,reason
wavelet-HHL_firstorder_Energy,icc,ICC_A=0.730 ≤ 0.75
wavelet-HHL_firstorder_Entropy,icc,ICC_A=0.476 ≤ 0.75
wavelet-HHL_firstorder_InterquartileRange,icc,ICC_A=0.570 ≤ 0.75
wavelet-HHL_firstorder_Kurtosis,icc,ICC_A=0.243 ≤ 0.75
wavelet-HHL_firstorder_Mean,icc,ICC_A=-0.407 ≤ 0.75
wavelet-HHL_firstorder_Median,icc,ICC_A=-1.100 ≤ 0.75
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.746 ≤ 0.75
wavelet-HHL_firstorder_RootMeanSquared,icc,ICC_A=0.537 ≤ 0.75
wavelet-HHL_firstorder_Skewness,icc,ICC_A=0.245 ≤ 0.75
wavelet-HHL_firstorder_TotalEnergy,icc,ICC_A=0.730 ≤ 0.75
wavelet-HHL_firstorder_Uniformity,icc,ICC_A=0.102 ≤ 0.75
wavelet-HHL_glcm_ClusterShade,icc,ICC_A=-0.105 ≤ 0.75
wavelet-HHL_glcm_Correlation,icc,ICC_A=0.180 ≤ 0.75
wavelet-HHL_glcm_DifferenceEntropy,icc,ICC_A=0.519 ≤ 0.75
wavelet-HHL_glcm_Id,icc,ICC_A=0.338 ≤ 0.75
wavelet-HHL_glcm_Idm,icc,ICC_A=0.313 ≤ 0.75
wavelet-HHL_glcm_Idmn,icc,ICC_A=0.390 ≤ 0.75
wavelet-HHL_glcm_Idn,icc,ICC_A=0.352 ≤ 0.75
wavelet-HHL_glcm_Imc2,icc,ICC_A=0.602 ≤ 0.75
wavelet-HHL_glcm_InverseVariance,icc,ICC_A=0.556 ≤ 0.75
wavelet-HHL_glcm_JointEnergy,icc,ICC_A=0.016 ≤ 0.75
wavelet-HHL_glcm_JointEntropy,icc,ICC_A=0.463 ≤ 0.75
wavelet-HHL_glcm_MCC,icc,ICC_A=0.390 ≤ 0.75
