feature,stage,reason
wavelet-HLL_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.661 ≤ 0.75
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.641 ≤ 0.75
wavelet-HLL_glrlm_LongRunEmphasis,icc,ICC_A=0.677 ≤ 0.75
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.630 ≤ 0.75
wavelet-HLL_glrlm_RunVariance,icc,ICC_A=0.623 ≤ 0.75
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.643 ≤ 0.75
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.644 ≤ 0.75
wavelet-HLL_glszm_LargeAreaEmphasis,icc,ICC_A=0.241 ≤ 0.75
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.173 ≤ 0.75
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.412 ≤ 0.75
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.660 ≤ 0.75
wavelet-HLL_glszm_ZoneEntropy,icc,ICC_A=0.573 ≤ 0.75
wavelet-HLL_glszm_ZoneVariance,icc,ICC_A=0.240 ≤ 0.75
wavelet-HLL_gldm_DependenceEntropy,icc,ICC_A=0.527 ≤ 0.75
wavelet-HLL_gldm_DependenceNonUniformityNormalized,icc,ICC_A=0.741 ≤ 0.75
wavelet-HLL_gldm_DependenceVariance,icc,ICC_A=0.692 ≤ 0.75
wavelet-HLL_gldm_GrayLevelNonUniformity,icc,ICC_A=0.637 ≤ 0.75
wavelet-HLL_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.641 ≤ 0.75
wavelet-HLL_gldm_LargeDependenceEmphasis,icc,ICC_A=0.722 ≤ 0.75
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.603 ≤ 0.75
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.671 ≤ 0.75
wavelet-HLL_ngtdm_Coarseness,icc,ICC_A=0.690 ≤ 0.75
wavelet-HLL_ngtdm_Complexity,icc,ICC_A=0.737 ≤ 0.75
wavelet-HLL_ngtdm_Contrast,icc,ICC_A=0.675 ≤ 0.75
wavelet-HLH_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-HLH_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-HLH_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-HLH_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-HLH_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-HLH_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-HLH_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-HLH_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-HLH_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-HLH_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-HLH_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-HLH_firstorder_10Percentile,icc,ICC_A=0.701 ≤ 0.75
wavelet-HLH_firstorder_Energy,icc,ICC_A=0.729 ≤ 0.75
