feature,stage,reason
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.732 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,icc,ICC_A=0.577 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.516 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,icc,ICC_A=0.430 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.643 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,icc,ICC_A=0.749 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.417 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,icc,ICC_A=0.603 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.508 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.474 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.622 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.711 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,icc,ICC_A=0.545 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_ZonePercentage,icc,ICC_A=0.610 ≤ 0.75
log-sigma-2-0-mm-3D_glszm_ZoneVariance,icc,ICC_A=0.749 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.691 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.748 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,icc,ICC_A=0.643 ≤ 0.75
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.568 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Busyness,icc,ICC_A=0.682 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.651 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.595 ≤ 0.75
log-sigma-2-0-mm-3D_ngtdm_Strength,icc,ICC_A=0.289 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-3-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-3-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-3-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-3-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-3-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-3-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.735 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Energy,icc,ICC_A=0.718 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Entropy,icc,ICC_A=0.612 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.610 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.663 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.591 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Range,icc,ICC_A=0.747 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.651 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.718 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Uniformity,icc,ICC_A=0.691 ≤ 0.75
log-sigma-3-0-mm-3D_firstorder_Variance,icc,ICC_A=0.489 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.355 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.452 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.529 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Contrast,icc,ICC_A=0.583 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Correlation,icc,ICC_A=0.620 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_DifferenceAverage,icc,ICC_A=0.626 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_DifferenceEntropy,icc,ICC_A=0.629 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.591 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Id,icc,ICC_A=0.684 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Idm,icc,ICC_A=0.684 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Imc1,icc,ICC_A=0.575 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_Imc2,icc,ICC_A=0.648 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_InverseVariance,icc,ICC_A=0.610 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_JointEnergy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_JointEntropy,icc,ICC_A=0.642 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_MCC,icc,ICC_A=0.651 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_MaximumProbability,icc,ICC_A=0.738 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_SumEntropy,icc,ICC_A=0.621 ≤ 0.75
log-sigma-3-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.531 ≤ 0.75
